244,,LGC_Shroud_Cly06_E_Z,4,mm,,Number,,,,,,
245,,LKP_Shroud_Cly09_Z,4,mm,,Number,,,,,,
246,,LGC_Shroud_Cly04_BJ_Z,4,mm,,Number,,,,,,
247,,LGC_Shroud_Cly03_F_Z,0,mm,,Number,,,,,,
248,,LKP_Shroud_Cly02_Z,0,mm,,Number,,,,,,
249,,LGC_Shroud_Cly05_E_Z,4,mm,,Number,,,,,,
250,,LGC_Shroud_Cly01_AL_Z,0,mm,,Number,,,,,,
251,,LGC_Shroud_Cly02_F_Z,0,mm,,Number,,,,,,
252,,LGC_Shroud_Cly03_BJ_X,0,mm,,Number,,,,,,
253,,LGC_Shroud_Cly09_BJ_X,0,mm,,Number,,,,,,
254,,LGC_Shroud_Cly04_E_X,0,mm,,Number,,,,,,
255,,LKP_Shroud_Fin_Evn,0,degrees,,Number,,,,,,
256,,LKP_Shroud_Cly05_X,0,mm,,Number,,,,,,
257,,LGC_Shroud_Cly01_F_X,6,mm,,Number,,,,,,
258,,LKP_Shroud_Fin_Odd,0,degrees,,Number,,,,,,
259,,LGC_Shroud_Cly06_AL_X,0,mm,,Number,,,,,,
260,,LKP_Shroud_Cly08_X,0,mm,,Number,,,,,,
261,,LGC_Shroud_Cly09_F_X,0,mm,,Number,,,,,,
262,,LGC_Shroud_Cly03_E_X,0,mm,,Number,,,,,,
263,,LGC_Shroud_Cly02_BJ_X,11,mm,,Number,,,,,,
264,,LGC_Shroud_Cly08_BJ_X,0,mm,,Number,,,,,,
265,,LGC_Shroud_Cly08_F_X,0,mm,,Number,,,,,,
266,,LKP_Shroud_Cly01_X,18,mm,,Number,,,,,,
267,,LGC_Shroud_Stock_Axial_Vert,1,mm,,Number,,,,,,
268,,LGC_Shroud_Cly05_AL_X,0,mm,,Number,,,,,,
269,,LGC_Shroud_Cly01_BJ_X,18,mm,,Number,,,,,,
270,,LGC_Shroud_Cly07_BJ_X,0,mm,,Number,,,,,,
271,,LKP_Shroud_Cly04_X,0,mm,,Number,,,,,,
272,,LGC_Shroud_Cly07_F_X,0,mm,,Number,,,,,,
273,,LGC_Shroud_Cly01_E_X,20.4,mm,,Number,,,,,,
274,,LGC_Shroud_Cly07_AL_X,0,mm,,Number,,,,,,
275,,LGC_Shroud_Cly09_E_X,0,mm,,Number,,,,,,
276,,LGC_Shroud_Cly04_AL_X,0,mm,,Number,,,,,,
277,,LGC_Shroud_Cly06_F_X,0,mm,,Number,,,,,,
278,,LGC_Shroud_Cly06_BJ_X,0,mm,,Number,,,,,,
279,,LGC_Shroud_Cly02_E_X,0,mm,,Number,,,,,,
280,,LGC_Shroud_Cly08_E_X,0,mm,,Number,,,,,,
281,,LKP_Shroud_Cly07_X,0,mm,,Number,,,,,,
282,,LGC_Shroud_Cly05_F_X,0,mm,,Number,,,,,,
283,,LGC_Shroud_Cly03_AL_X,0,mm,,Number,,,,,,
284,,LGC_Shroud_Cly09_AL_X,0,mm,,Number,,,,,,
285,,LKP_Shroud_Cly03_X,0,mm,,Number,,,,,,
286,,LGC_Shroud_Cly05_BJ_X,0,mm,,Number,,,,,,
287,,LGC_Shroud_Cly07_E_X,0,mm,,Number,,,,,,
288,,LGC_Shroud_Stock_Axial_Angl,1,mm,,Number,,,,,,
289,,LGC_Shroud_Cly04_F_X,0,mm,,Number,,,,,,
290,,LKP_Shroud_Cly06_X,0,mm,,Number,,,,,,
291,,LGC_Shroud_Cly02_AL_X,0,mm,,Number,,,,,,
292,,LGC_Shroud_Cly08_AL_X,0,mm,,Number,,,,,,
293,,LGC_Shroud_Cly06_E_X,0,mm,,Number,,,,,,
294,,LKP_Shroud_Cly09_X,0,mm,,Number,,,,,,
295,,LGC_Shroud_Cly04_BJ_X,0,mm,,Number,,,,,,
296,,LGC_Shroud_Cly03_F_X,0,mm,,Number,,,,,,
297,,LKP_Shroud_Cly02_X,11,mm,,Number,,,,,,
298,,LGC_Shroud_Cly01_AL_X,11,mm,,Number,,,,,,
299,,LGC_Shroud_Cly05_E_X,0,mm,,Number,,,,,,
300,,LGC_Shroud_Cly02_F_X,0,mm,,Number,,,,,,
301,,HT_XDP2,18.48,mm,,Number,,,,,,
302,,HT_RFU2,0.001,mm,,Number,,,,,,
303,,HT_RDP2,31.78,mm,,Number,,,,,,
304,,HT_XFU2,0,mm,,Number,,,,,,
305,,XML_XSZ2,1.276649428725,mm,,Number,,,,,,
306,,ASP_THX201,50,degrees,,Number,,,,,,
307,,HT_YBZ2,16.6768,mm,,Number,,,,,,
308,,HT_ZHK201,276.952,mm,,Number,,,,,,
309,,HT_SX201,30,mm,,Number,,,,,,
310,,HT_ZHK205,333.35,mm,,Number,,,,,,
311,,HT_THX201,50,degrees,,Number,,,,,,
312,,HT_ZHK207,0,mm,,Number,,,,,,
313,,HT_XHK201,0,mm,,Number,,,,,,
314,,HT_YHK201,0,mm,,Number,,,,,,
315,,LGC_THX201,50,degrees,,Number,,,,,,
316,,EQN_Vane_Y_origin,16.6768,mm,,Number,,,,,,
317,,CON_Vane_Extension_Helper,0.1,mm,,Number,,,,,,
318,,LGC_Vane_Extension_Trim,333.35,mm,,Number,,,,,,
319,,ASP_THEF2,50,degrees,,Number,,,,,,
320,,HT_DFV2,2.4763,mm,,Number,,,,,,
321,,HT_VFZ2,7.3929,mm,,Number,,,,,,
322,,HT_THEF2,50,degrees,,Number,,,,,,
323,,LGC_Dvtl_Skew_Back_Tang_Pitch,-1.87470810662196,mm,,Number,,,,,,
324,,LGC_Dvtl_Skew_Frnt_Taper,0,degrees,,Number,,,,,,
325,,LGC_Dvtl_Skew_Back_Taper,4.55696202531646,degrees,,Number,,,,,,
326,,REF_Dvtl_Back_THEF2,50,degrees,,Number,,,,,,
327,,EQN_Dvtl_Arc_Length,19.7812874457495,mm,,Number,,,,,,
328,,EQN_Dvtl_Arc_Length_Angle,4.0499706413313,degrees,,Number,,,,,,
329,,REF_Dvtl_Frnt_THEF2,50,degrees,,Number,,,,,,
330,,LGC_Dvtl_Skew_Frnt_Tang_Pitch,21.6349013903566,mm,,Number,,,,,,
331,,ASP_THED2,50,degrees,,Number,,,,,,
332,,HT_DDV2,0.3068,mm,,Number,,,,,,
333,,HT_THED2,50,degrees,,Number,,,,,,
334,,HT_VDZ2,7.3929,mm,,Number,,,,,,
335,,LGC_Shrd_Skew_Frnt_Tang_Pitch,21.6349013903566,mm,,Number,,,,,,
336,,EQN_Shrd_Arc_Length_Angle_,4.61009288569008,degrees,,Number,,,,,,
337,,REF_Shrd_Frnt_THED2,50,degrees,,Number,,,,,,
338,,REF_Shrd_Back_THED2,50,degrees,,Number,,,,,,
339,,LGC_Shrd_Skew_Frnt_Taper,0,degrees,,Number,,,,,,
340,,LGC_Shrd_Skew_Back_Taper,4.55696202531646,degrees,,Number,,,,,,
341,,LGC_Shrd_Skew_Back_Tang_Pitch,4.97305959623426,mm,,Number,,,,,,
342,,EQN_Shrd_Arc_Length,26.6206209984856,mm,,Number,,,,,,
343,,ASP_WFUS2,30,degrees,,Number,,,,,,
344,,ASP_AFUS2,0.366141732283465,degrees,,Number,,,,,,
345,,HT_AFUS2,0.3661,degrees,,Number,,,,,,
346,,HT_RFUS2,20,mm,,Number,,,,,,
347,,HT_DDI1,536.8,mm,,Number,,,,,,
348,,HT_DDI1_DOWN,539.8,mm,,Number,,,,,,
349,,HT_AZA11_DOWN,0,mm,,Number,,,,,,
350,,HT_AZA12,21.25,mm,,Number,,,,,,
351,,HT_WFUS2,30,degrees,,Number,,,,,,
352,,EQN_Dvtl_Sld_Chmf_Crnr,271.375,mm,,Number,,,,,,
353,,LGC_Dvtl_Sld_Chmf_Admis,True,,,Boolean,,,,,,
354,,LGC_Dvtl_Sld_Embed_Admis,True,,,Boolean,,,,,,
355,,REF_CW_RBD2,2,mm,,Number,,,,,,
356,,LGC_Dvtl_Sld_Chmf_Disch,True,,,Boolean,,,,,,
357,,REF_CCW_RBF2,2,mm,,Number,,,,,,
358,,LGC_Dvtl_Sld_Embed_Disch,False,,,Boolean,,,,,,
359,,REF_CCW_RBD2,2,mm,,Number,,,,,,
360,,REF_CW_RBF2,2,mm,,Number,,,,,,
